"Characteristics","Estimate"
"      Total","2,564.7"
"",""
"Units Using Each Fuel",""
"",""
"Electricity","2,564.7"
"Gas","1,230.1"
"Fuel oil","S"
"Other","69.7"
"",""
"Main Heating Equipment",""
"",""
"Warm-air furnace","2,163.9"
"Steam or hot water system","S"
"Electric heat pump","229.2"
"Built-in electric units","16.7"
"Floor, wall, or other built-in hot-air units without ducts","91.5"
"Room heaters with flue","S"
"Room heaters without flue","14.7"
"Portable electric heaters","31.0"
"Stoves","S"
"Fireplaces with inserts","S"
"Fireplaces without inserts","."
"Cooking stove","."
"Other","S"
"None","S"
"",""
"Main House Heating Fuel",""
"",""
"      Housing units with heating fuel","2,563.5"
"Electricity","1,890.8"
"Piped gas","616.7"
"Bottled gas","42.9"
"Fuel oil","."
"Kerosene or other liquid fuel","S"
"Coal or coke","."
"Wood","S"
"Solar energy","S"
"Other","S"
"",""
"Supplemental Heating Equipment",""
"",""
"Warm-air furnace","35.0"
"Steam or hot water system","."
"Electric heat pump","S"
"Built-in electric units","S"
"Floor, wall, or other built-in hot-air units without ducts","."
"Room heaters with flue","S"
"Room heaters without flue","9.5"
"Portable electric heaters","67.6"
"Stoves","S"
"Outdoor wood fired boiler","."
"Gas oven with the door open","S"
"Cooking stove","232.4"
"Other","S"
"Not reported","S"
"No supplemental heating","2,192.6"
"",""
"Primary Air Conditioning",""
"",""
"With primary air conditioning","2,539.1"
"  Central air conditioning","2,444.3"
"    Powered by:",""
"      Electric","2,418.0"
"      Piped gas","23.1"
"      Liquid propane gas","S"
"      Other","S"
"  Room air conditioning","94.8"
"    Unit has 1 room air conditioner","22.3"
"    Unit has 2 room air conditioners","25.9"
"    Unit has 3 room air conditioners","29.4"
"    Unit has 4 room air conditioners","13.1"
"    Unit has 5 room air conditioners","S"
"    Unit has 6 room air conditioners","S"
"    Unit has 7 or more room air conditioners","."
"Unit does not have air conditioning","25.6"
"",""
"Secondary Air Conditioning",""
"",""
"With secondary air conditioning","557.3"
"  Central air conditioning","444.3"
"    Powered by:",""
"      Electric","438.3"
"      Piped gas","S"
"      Liquid propane gas","S"
"      Other","."
"  Room air conditioning","113.0"
"    Unit has 1 room air conditioner","66.5"
"    Unit has 2 room air conditioners","29.9"
"    Unit has 3 room air conditioners","12.6"
"    Unit has 4 room air conditioners","S"
"    Unit has 5 room air conditioners","."
"    Unit has 6 room air conditioners","."
"    Unit has 7 or more room air conditioners","."
"Unit does not have secondary air conditioning","2,007.4"
"",""
"Water Heating Fuel",""
"",""
"      With hot piped water","2,558.8"
"Electricity","1,597.2"
"Piped gas","910.6"
"Bottled gas","50.0"
"Fuel oil","."
"Solar energy","."
"Other","S"
"",""
"Kitchen Equipment",""
"",""
"With complete kitchen (sink, refrigerator, and oven or burners)","2,537.1"
"Lacking complete kitchen facilities","27.5"
"Kitchen sink","2,558.6"
"Refrigerator","2,554.0"
"Cooking stove or range","2,536.1"
"Burners, no stove or range","S"
"Microwave oven only","15.9"
"Dishwasher","2,261.1"
"",""
"Laundry Equipment",""
"",""
"Washing machine","2,262.6"
"Clothes dryer","2,250.0"
"",""
"Cooking Fuel",""
"",""
"      With cooking fuel","2,559.6"
"Electricity","1,905.8"
"Piped gas","595.2"
"Bottled gas","58.5"
"Other","."
"",""
"Clothes Dryer Fuel",""
"",""
"      With clothes dryer","2,250.0"
"Electricity","2,109.9"
"Piped gas","132.9"
"Bottled gas","S"
"Other","."
"",""
"Carbon Monoxide Detector",""
"",""
"Yes","1,319.8"
"No","1,193.2"
"Not reported","51.7"
"",""
"Solar Panels",""
"",""
"Yes","35.5"
"No","2,518.9"
"Not reported","S"
"",""
