"Characteristics","Estimate"
"      Total","1,047.6"
"",""
"Units Using Each Fuel",""
"",""
"Electricity","1,044.0"
"Gas","700.3"
"Fuel oil","100.4"
"Other","100.0"
"",""
"Main Heating Equipment",""
"",""
"Warm-air furnace","670.3"
"Steam or hot water system","98.8"
"Electric heat pump","199.0"
"Built-in electric units","20.3"
"Floor, wall, or other built-in hot-air units without ducts","39.1"
"Room heaters with flue","S"
"Room heaters without flue","S"
"Portable electric heaters","S"
"Stoves","S"
"Fireplaces with inserts","S"
"Fireplaces without inserts","S"
"Cooking stove","S"
"Other","S"
"None","S"
"",""
"Main House Heating Fuel",""
"",""
"      Housing units with heating fuel","1,045.7"
"Electricity","503.9"
"Piped gas","428.5"
"Bottled gas","27.0"
"Fuel oil","69.4"
"Kerosene or other liquid fuel","S"
"Coal or coke","."
"Wood","7.2"
"Solar energy","S"
"Other","S"
"",""
"Supplemental Heating Equipment",""
"",""
"Warm-air furnace","17.8"
"Steam or hot water system","S"
"Electric heat pump","12.1"
"Built-in electric units","15.0"
"Floor, wall, or other built-in hot-air units without ducts","S"
"Room heaters with flue","S"
"Room heaters without flue","12.0"
"Portable electric heaters","58.0"
"Stoves","34.3"
"Outdoor wood fired boiler","."
"Gas oven with the door open","S"
"Cooking stove","18.3"
"Other","14.1"
"Not reported","."
"No supplemental heating","870.9"
"",""
"Primary Air Conditioning",""
"",""
"With primary air conditioning","1,035.0"
"  Central air conditioning","896.3"
"    Powered by:",""
"      Electric","833.7"
"      Piped gas","55.6"
"      Liquid propane gas","S"
"      Other","S"
"  Room air conditioning","138.7"
"    Unit has 1 room air conditioner","33.4"
"    Unit has 2 room air conditioners","47.8"
"    Unit has 3 room air conditioners","36.9"
"    Unit has 4 room air conditioners","14.4"
"    Unit has 5 room air conditioners","S"
"    Unit has 6 room air conditioners","S"
"    Unit has 7 or more room air conditioners","."
"Unit does not have air conditioning","12.7"
"",""
"Secondary Air Conditioning",""
"",""
"With secondary air conditioning","127.6"
"  Central air conditioning","74.9"
"    Powered by:",""
"      Electric","70.7"
"      Piped gas","S"
"      Liquid propane gas","S"
"      Other","S"
"  Room air conditioning","52.8"
"    Unit has 1 room air conditioner","36.1"
"    Unit has 2 room air conditioners","10.3"
"    Unit has 3 room air conditioners","S"
"    Unit has 4 room air conditioners","S"
"    Unit has 5 room air conditioners","."
"    Unit has 6 room air conditioners","."
"    Unit has 7 or more room air conditioners","."
"Unit does not have secondary air conditioning","920.0"
"",""
"Water Heating Fuel",""
"",""
"      With hot piped water","1,046.5"
"Electricity","543.1"
"Piped gas","454.3"
"Bottled gas","22.2"
"Fuel oil","23.5"
"Solar energy","S"
"Other","S"
"",""
"Kitchen Equipment",""
"",""
"With complete kitchen (sink, refrigerator, and oven or burners)","1,036.6"
"Lacking complete kitchen facilities","11.0"
"Kitchen sink","1,045.1"
"Refrigerator","1,042.5"
"Cooking stove or range","1,037.5"
"Burners, no stove or range","S"
"Microwave oven only","S"
"Dishwasher","799.7"
"",""
"Laundry Equipment",""
"",""
"Washing machine","892.9"
"Clothes dryer","875.1"
"",""
"Cooking Fuel",""
"",""
"      With cooking fuel","1,045.7"
"Electricity","573.4"
"Piped gas","431.7"
"Bottled gas","38.4"
"Other","S"
"",""
"Clothes Dryer Fuel",""
"",""
"      With clothes dryer","875.1"
"Electricity","690.9"
"Piped gas","175.1"
"Bottled gas","S"
"Other","S"
"",""
"Carbon Monoxide Detector",""
"",""
"Yes","734.0"
"No","291.7"
"Not reported","21.9"
"",""
"Solar Panels",""
"",""
"Yes","42.5"
"No","1,001.1"
"Not reported","S"
"",""
