"Characteristics","Estimate"
"      Total","849.9"
"",""
"Units Using Each Fuel",""
"",""
"Electricity","848.8"
"Gas","699.0"
"Fuel oil","9.9"
"Other","41.9"
"",""
"Main Heating Equipment",""
"",""
"Warm-air furnace","775.4"
"Steam or hot water system","5.9"
"Electric heat pump","39.7"
"Built-in electric units","S"
"Floor, wall, or other built-in hot-air units without ducts","14.6"
"Room heaters with flue","S"
"Room heaters without flue","S"
"Portable electric heaters","S"
"Stoves","S"
"Fireplaces with inserts","S"
"Fireplaces without inserts","S"
"Cooking stove","S"
"Other","."
"None","."
"",""
"Main House Heating Fuel",""
"",""
"      Housing units with heating fuel","849.9"
"Electricity","259.1"
"Piped gas","556.2"
"Bottled gas","30.0"
"Fuel oil","."
"Kerosene or other liquid fuel","S"
"Coal or coke","."
"Wood","S"
"Solar energy","."
"Other","S"
"",""
"Supplemental Heating Equipment",""
"",""
"Warm-air furnace","12.8"
"Steam or hot water system","."
"Electric heat pump","S"
"Built-in electric units","S"
"Floor, wall, or other built-in hot-air units without ducts","."
"Room heaters with flue","S"
"Room heaters without flue","6.8"
"Portable electric heaters","67.9"
"Stoves","8.1"
"Outdoor wood fired boiler","."
"Gas oven with the door open","S"
"Cooking stove","19.7"
"Other","S"
"Not reported","."
"No supplemental heating","731.3"
"",""
"Primary Air Conditioning",""
"",""
"With primary air conditioning","839.5"
"  Central air conditioning","794.6"
"    Powered by:",""
"      Electric","785.1"
"      Piped gas","8.9"
"      Liquid propane gas","S"
"      Other","."
"  Room air conditioning","44.9"
"    Unit has 1 room air conditioner","17.5"
"    Unit has 2 room air conditioners","14.7"
"    Unit has 3 room air conditioners","6.5"
"    Unit has 4 room air conditioners","S"
"    Unit has 5 room air conditioners","S"
"    Unit has 6 room air conditioners","S"
"    Unit has 7 or more room air conditioners","."
"Unit does not have air conditioning","10.3"
"",""
"Secondary Air Conditioning",""
"",""
"With secondary air conditioning","87.8"
"  Central air conditioning","54.0"
"    Powered by:",""
"      Electric","51.4"
"      Piped gas","S"
"      Liquid propane gas","S"
"      Other","."
"  Room air conditioning","33.8"
"    Unit has 1 room air conditioner","27.8"
"    Unit has 2 room air conditioners","5.1"
"    Unit has 3 room air conditioners","S"
"    Unit has 4 room air conditioners","S"
"    Unit has 5 room air conditioners","."
"    Unit has 6 room air conditioners","."
"    Unit has 7 or more room air conditioners","."
"Unit does not have secondary air conditioning","762.1"
"",""
"Water Heating Fuel",""
"",""
"      With hot piped water","849.9"
"Electricity","274.0"
"Piped gas","554.4"
"Bottled gas","20.1"
"Fuel oil","."
"Solar energy","."
"Other","S"
"",""
"Kitchen Equipment",""
"",""
"With complete kitchen (sink, refrigerator, and oven or burners)","843.2"
"Lacking complete kitchen facilities","6.7"
"Kitchen sink","848.4"
"Refrigerator","847.7"
"Cooking stove or range","843.2"
"Burners, no stove or range","S"
"Microwave oven only","S"
"Dishwasher","699.7"
"",""
"Laundry Equipment",""
"",""
"Washing machine","763.0"
"Clothes dryer","757.4"
"",""
"Cooking Fuel",""
"",""
"      With cooking fuel","849.9"
"Electricity","623.5"
"Piped gas","213.8"
"Bottled gas","12.1"
"Other","S"
"",""
"Clothes Dryer Fuel",""
"",""
"      With clothes dryer","757.4"
"Electricity","669.9"
"Piped gas","85.4"
"Bottled gas","S"
"Other","."
"",""
"Carbon Monoxide Detector",""
"",""
"Yes","592.6"
"No","240.0"
"Not reported","17.3"
"",""
"Solar Panels",""
"",""
"Yes","6.3"
"No","842.3"
"Not reported","S"
"",""
